customer_id,signup_date,acquisition_channel,region
C01987,2025-01-11,Paid Search,West
C02743,2025-01-12,Email,South
C02923,2025-01-12,Email,East
C01163,2025-01-12,Email,West
C00410,2025-01-12,Paid Search,South
C00466,2025-01-12,Paid Search,South
C01437,2025-01-12,Social,Central
C00286,2025-01-12,Paid Search,West
C01777,2025-01-12,Paid Search,North
C00729,2025-01-12,Email,West
C02652,2025-01-12,Affiliate,South
C03405,2025-01-13,Affiliate,Central
C03837,2025-01-13,Email,West
C02089,2025-01-13,Paid Search,West
C02761,2025-01-13,Social,West
C02523,2025-01-13,Social,East
C02883,2025-01-13,Organic,North
C01913,2025-01-13,Organic,West
C01292,2025-01-13,Email,South
C01290,2025-01-13,Affiliate,Central
C03547,2025-01-13,Email,North
C03846,2025-01-13,Organic,East
C02552,2025-01-13,Social,South
C03849,2025-01-13,Organic,South
C02025,2025-01-13,Organic,East
C00047,2025-01-14,Organic,North
C01111,2025-01-14,Organic,South
C02721,2025-01-14,Email,East
C02075,2025-01-14,Paid Search,North
C03942,2025-01-14,Organic,North
C02094,2025-01-14,Paid Search,East
C02586,2025-01-15,Paid Search,East
C00510,2025-01-15,Paid Search,South
C03983,2025-01-15,Email,South
C03992,2025-01-15,Affiliate,Central
C01024,2025-01-15,Paid Search,North
C03116,2025-01-15,Organic,West
C02966,2025-01-15,Social,West
C03440,2025-01-15,Paid Search,West
C00140,2025-01-15,Social,West
C03857,2025-01-15,Social,East
C01571,2025-01-15,Paid Search,South
C00813,2025-01-16,Social,North
C00058,2025-01-16,Social,West
C03279,2025-01-16,Paid Search,South
C03255,2025-01-16,Social,South
C03009,2025-01-16,Social,East
C02203,2025-01-16,Organic,East
C02555,2025-01-16,Organic,West
C00583,2025-01-17,Paid Search,South
C03960,2025-01-17,Social,East
C02456,2025-01-17,Paid Search,South
C00024,2025-01-17,Organic,West
C02517,2025-01-17,Affiliate,West
C02659,2025-01-17,Email,South
C02701,2025-01-17,Organic,East
C01989,2025-01-17,Organic,East
C02233,2025-01-17,Paid Search,Central
C00407,2025-01-17,Affiliate,West
C02970,2025-01-17,Paid Search,South
C03217,2025-01-17,Social,Central
C01270,2025-01-17,Paid Search,Central
C00868,2025-01-18,Paid Search,South
C00851,2025-01-18,Organic,North
C01472,2025-01-18,Organic,Central
C01332,2025-01-18,Paid Search,West
C01478,2025-01-18,Social,North
C01616,2025-01-18,Social,North
C03130,2025-01-18,Organic,West
C00418,2025-01-18,Social,South
C01854,2025-01-18,Affiliate,East
C00740,2025-01-18,Paid Search,East
C01201,2025-01-18,Email,Central
C01749,2025-01-18,Email,East
C02430,2025-01-18,Organic,North
C02438,2025-01-18,Organic,South
C02514,2025-01-19,Paid Search,Central
C02181,2025-01-19,Email,North
C03254,2025-01-19,Social,Central
C03921,2025-01-19,Organic,North
C00628,2025-01-19,Paid Search,East
C03585,2025-01-19,Organic,West
C03320,2025-01-19,Social,Central
C00339,2025-01-19,Social,North
C03157,2025-01-19,Social,East
C01762,2025-01-19,Email,South
C01977,2025-01-19,Organic,West
C00188,2025-01-19,Organic,Central
C03678,2025-01-19,Paid Search,South
C03135,2025-01-20,Paid Search,Central
C01329,2025-01-20,Paid Search,West
C03436,2025-01-20,Organic,Central
C01937,2025-01-20,Social,East
C00833,2025-01-20,Organic,South
C02242,2025-01-20,Paid Search,South
C03292,2025-01-20,Affiliate,Central
C03703,2025-01-20,Paid Search,South
C00923,2025-01-20,Social,West
C03100,2025-01-20,Organic,East
C03833,2025-01-21,Organic,South
C00289,2025-01-21,Social,East
C02930,2025-01-21,Paid Search,East
C01371,2025-01-21,Affiliate,East
C03451,2025-01-21,Organic,North
C02937,2025-01-21,Affiliate,East
C01470,2025-01-21,Affiliate,West
C01192,2025-01-21,Affiliate,East
C03175,2025-01-21,Organic,North
C02551,2025-01-21,Paid Search,Central
C02567,2025-01-21,Affiliate,Central
C01516,2025-01-21,Organic,Central
C03765,2025-01-21,Paid Search,Central
C02797,2025-01-21,Social,West
C00327,2025-01-21,Paid Search,Central
C01139,2025-01-22,Affiliate,East
C02363,2025-01-22,Organic,East
C03480,2025-01-22,Social,Central
C01416,2025-01-22,Email,East
C02837,2025-01-22,Email,Central
C03120,2025-01-22,Organic,West
C01442,2025-01-22,Social,North
C01877,2025-01-22,Social,South
C01936,2025-01-22,Affiliate,Central
C01504,2025-01-22,Paid Search,North
C03594,2025-01-22,Paid Search,South
C03349,2025-01-22,Organic,East
C00057,2025-01-22,Paid Search,East
C01830,2025-01-22,Organic,West
C01620,2025-01-22,Organic,Central
C02234,2025-01-23,Affiliate,East
C00365,2025-01-23,Paid Search,Central
C01871,2025-01-23,Organic,Central
C02325,2025-01-23,Social,North
C02040,2025-01-23,Paid Search,North
C02404,2025-01-23,Social,North
C03371,2025-01-23,Social,North
C03723,2025-01-23,Paid Search,Central
C03360,2025-01-23,Social,Central
C00076,2025-01-23,Organic,East
C03687,2025-01-24,Affiliate,East
C01394,2025-01-24,Paid Search,Central
C01862,2025-01-24,Email,West
C03606,2025-01-24,Organic,East
C00823,2025-01-24,Organic,South
C01317,2025-01-24,Organic,East
C00939,2025-01-24,Organic,South
C02431,2025-01-24,Email,Central
C00988,2025-01-24,Social,East
C02939,2025-01-25,Email,West
C02259,2025-01-25,Email,West
C03995,2025-01-25,Organic,West
C01712,2025-01-25,Organic,East
C01386,2025-01-25,Email,Central
C00657,2025-01-25,Paid Search,East
C01881,2025-01-25,Organic,North
C01062,2025-01-26,Affiliate,West
C02725,2025-01-26,Paid Search,West
C03543,2025-01-26,Paid Search,Central
C00748,2025-01-26,Organic,East
C00634,2025-01-26,Social,Central
C03824,2025-01-26,Affiliate,West
C02126,2025-01-26,Paid Search,Central
C02403,2025-01-26,Organic,South
C00240,2025-01-26,Affiliate,North
C02381,2025-01-26,Organic,South
C01760,2025-01-26,Affiliate,South
C01187,2025-01-26,Paid Search,East
C03721,2025-01-26,Organic,West
C00926,2025-01-26,Organic,West
C02021,2025-01-26,Organic,East
C03455,2025-01-26,Social,South
C03968,2025-01-26,Organic,South
C00447,2025-01-26,Social,Central
C03265,2025-01-26,Paid Search,Central
C02980,2025-01-27,Organic,Central
C00334,2025-01-27,Email,East
C03158,2025-01-27,Paid Search,West
C03219,2025-01-27,Paid Search,South
C01336,2025-01-27,Social,East
C01697,2025-01-27,Paid Search,Central
C01904,2025-01-27,Paid Search,East
C03745,2025-01-27,Paid Search,Central
C01331,2025-01-27,Organic,South
C02816,2025-01-27,Social,South
C03653,2025-01-27,Email,South
C00928,2025-01-27,Paid Search,East
C00408,2025-01-28,Affiliate,Central
C01093,2025-01-28,Affiliate,East
C00061,2025-01-28,Organic,South
C00253,2025-01-28,Organic,West
C03462,2025-01-28,Email,East
C02665,2025-01-28,Email,Central
C00216,2025-01-29,Social,Central
C01851,2025-01-29,Organic,East
C02615,2025-01-29,Email,East
C02006,2025-01-29,Organic,West
C03778,2025-01-29,Social,West
C00124,2025-01-29,Social,South
C02121,2025-01-29,Paid Search,East
C02732,2025-01-29,Affiliate,East
C01691,2025-01-29,Email,West
C02455,2025-01-29,Paid Search,Central
C01895,2025-01-30,Social,East
C01288,2025-01-30,Organic,South
C02977,2025-01-30,Paid Search,West
C02612,2025-01-30,Paid Search,East
C03839,2025-01-30,Paid Search,Central
C00885,2025-01-30,Social,West
C03448,2025-01-30,Affiliate,North
C01149,2025-01-30,Social,East
C03980,2025-01-30,Social,North
C02853,2025-01-30,Social,South
C01009,2025-01-31,Organic,West
C01505,2025-01-31,Paid Search,Central
C03038,2025-01-31,Affiliate,Central
C02194,2025-01-31,Affiliate,North
C00776,2025-01-31,Organic,East
C00771,2025-01-31,Organic,East
C01303,2025-01-31,Organic,Central
C00542,2025-01-31,Email,East
C03746,2025-02-01,Organic,East
C03781,2025-02-01,Email,East
C00932,2025-02-01,Paid Search,South
C03842,2025-02-01,Paid Search,West
C00041,2025-02-01,Paid Search,North
C01346,2025-02-01,Social,West
C02057,2025-02-01,Organic,West
C03957,2025-02-01,Paid Search,East
C03583,2025-02-01,Paid Search,East
C01527,2025-02-01,Paid Search,West
C01644,2025-02-01,Social,East
C03444,2025-02-02,Affiliate,East
C00457,2025-02-02,Organic,South
C03716,2025-02-02,Affiliate,North
C00082,2025-02-02,Email,West
C01064,2025-02-02,Paid Search,West
C01096,2025-02-02,Paid Search,South
C03664,2025-02-02,Organic,South
C03630,2025-02-02,Email,East
C01147,2025-02-02,Affiliate,East
C00858,2025-02-02,Social,South
C00329,2025-02-02,Paid Search,East
C00132,2025-02-02,Organic,North
C03932,2025-02-02,Paid Search,North
C03799,2025-02-02,Paid Search,West
C00352,2025-02-02,Social,Central
C00146,2025-02-02,Social,West
C02805,2025-02-02,Paid Search,West
C01757,2025-02-03,Organic,West
C02575,2025-02-03,Social,East
C02261,2025-02-03,Organic,South
C01674,2025-02-03,Email,East
C00629,2025-02-03,Email,West
C03329,2025-02-03,Organic,North
C03321,2025-02-03,Paid Search,South
C03368,2025-02-03,Email,Central
C00824,2025-02-03,Social,North
C00508,2025-02-04,Email,Central
C01054,2025-02-04,Paid Search,West
C02705,2025-02-04,Email,North
C00802,2025-02-04,Email,East
C03045,2025-02-04,Affiliate,East
C02890,2025-02-04,Paid Search,North
C03026,2025-02-04,Paid Search,South
C03227,2025-02-04,Organic,Central
C01733,2025-02-04,Organic,Central
C00467,2025-02-04,Organic,Central
C03743,2025-02-04,Organic,Central
C00074,2025-02-05,Organic,North
C03573,2025-02-05,Organic,East
C02088,2025-02-05,Organic,West
C03555,2025-02-05,Paid Search,East
C02051,2025-02-05,Social,Central
C03439,2025-02-05,Email,South
C03369,2025-02-05,Organic,Central
C03772,2025-02-05,Organic,East
C00141,2025-02-05,Affiliate,North
C00086,2025-02-05,Email,North
C01835,2025-02-05,Affiliate,South
C01766,2025-02-05,Organic,North
C00148,2025-02-05,Paid Search,West
C01222,2025-02-05,Paid Search,North
C01407,2025-02-05,Paid Search,North
C01923,2025-02-06,Social,West
C02675,2025-02-06,Social,North
C01686,2025-02-06,Email,North
C02477,2025-02-06,Paid Search,North
C00254,2025-02-06,Organic,North
C00045,2025-02-06,Social,West
C00603,2025-02-06,Social,West
C03013,2025-02-06,Organic,North
C03502,2025-02-06,Organic,South
C01308,2025-02-07,Email,East
C03948,2025-02-07,Organic,South
C03527,2025-02-07,Paid Search,East
C02825,2025-02-07,Organic,North
C01476,2025-02-07,Social,Central
C03596,2025-02-07,Email,East
C01333,2025-02-07,Paid Search,West
C03337,2025-02-07,Organic,East
C02281,2025-02-07,Paid Search,South
C00690,2025-02-07,Email,West
C02536,2025-02-08,Email,East
C01652,2025-02-08,Organic,Central
C01245,2025-02-08,Paid Search,South
C00424,2025-02-08,Organic,Central
C02713,2025-02-08,Email,Central
C03549,2025-02-08,Paid Search,East
C02068,2025-02-08,Email,East
C03734,2025-02-08,Affiliate,Central
C01006,2025-02-08,Paid Search,South
C01603,2025-02-08,Organic,South
C01737,2025-02-08,Paid Search,East
C00668,2025-02-09,Paid Search,East
C00496,2025-02-09,Social,North
C03971,2025-02-09,Affiliate,North
C01458,2025-02-09,Organic,East
C03256,2025-02-09,Organic,South
C01354,2025-02-09,Paid Search,Central
C03609,2025-02-09,Affiliate,South
C02069,2025-02-09,Organic,East
C01205,2025-02-09,Social,South
C01263,2025-02-09,Paid Search,Central
C03642,2025-02-10,Social,North
C01928,2025-02-10,Organic,North
C01538,2025-02-10,Email,East
C00175,2025-02-10,Social,North
C02807,2025-02-10,Paid Search,North
C02580,2025-02-10,Affiliate,West
C03872,2025-02-10,Paid Search,North
C02846,2025-02-11,Paid Search,East
C03803,2025-02-11,Organic,West
C00820,2025-02-11,Paid Search,Central
C01853,2025-02-11,Paid Search,East
C00131,2025-02-11,Organic,East
C01001,2025-02-11,Organic,South
C00440,2025-02-11,Paid Search,South
C03682,2025-02-11,Paid Search,East
C03592,2025-02-11,Organic,South
C02854,2025-02-12,Paid Search,North
C00841,2025-02-12,Organic,North
C02931,2025-02-12,Paid Search,North
C01260,2025-02-12,Paid Search,South
C00369,2025-02-12,Organic,Central
C00130,2025-02-12,Email,South
C01232,2025-02-12,Organic,West
C02794,2025-02-12,Email,South
C02792,2025-02-12,Email,East
C02274,2025-02-12,Paid Search,Central
C01017,2025-02-12,Paid Search,South
C03933,2025-02-12,Organic,West
C00850,2025-02-13,Affiliate,East
C01318,2025-02-13,Social,Central
C03497,2025-02-13,Affiliate,West
C01351,2025-02-13,Email,East
C03431,2025-02-13,Organic,West
C00051,2025-02-13,Email,South
C01418,2025-02-13,Organic,Central
C01531,2025-02-13,Affiliate,East
C02988,2025-02-14,Social,West
C01030,2025-02-14,Social,North
C01650,2025-02-14,Paid Search,Central
C03401,2025-02-14,Organic,North
C03179,2025-02-14,Email,East
C01038,2025-02-14,Affiliate,North
C00572,2025-02-14,Email,East
C03423,2025-02-14,Social,East
C02451,2025-02-14,Social,South
C02476,2025-02-14,Paid Search,South
C02730,2025-02-14,Email,West
C03470,2025-02-14,Organic,East
C00514,2025-02-15,Paid Search,Central
C03615,2025-02-15,Email,Central
C03237,2025-02-15,Organic,West
C01633,2025-02-15,Organic,North
C01610,2025-02-15,Organic,South
C02910,2025-02-15,Social,South
C03315,2025-02-15,Social,West
C02944,2025-02-15,Organic,East
C02339,2025-02-15,Email,South
C01645,2025-02-15,Email,North
C01558,2025-02-15,Paid Search,East
C02616,2025-02-16,Affiliate,East
C03789,2025-02-16,Paid Search,East
C01546,2025-02-16,Paid Search,South
C01550,2025-02-16,Affiliate,North
C01933,2025-02-16,Social,Central
C03504,2025-02-16,Affiliate,Central
C01425,2025-02-16,Social,North
C03767,2025-02-16,Organic,North
C02662,2025-02-16,Organic,North
C01992,2025-02-16,Email,East
C00001,2025-02-16,Paid Search,Central
C00193,2025-02-16,Email,East
C00238,2025-02-16,Social,North
C00231,2025-02-17,Organic,North
C00548,2025-02-17,Email,West
C01114,2025-02-17,Affiliate,South
C02712,2025-02-17,Paid Search,West
C03875,2025-02-17,Paid Search,South
C00313,2025-02-17,Email,South
C01568,2025-02-17,Paid Search,East
C01675,2025-02-17,Organic,East
C00696,2025-02-17,Paid Search,Central
C02507,2025-02-17,Affiliate,South
C03238,2025-02-17,Email,East
C00291,2025-02-18,Organic,South
C01440,2025-02-18,Paid Search,Central
C01959,2025-02-18,Organic,East
C01847,2025-02-18,Organic,East
C00092,2025-02-18,Social,Central
C02244,2025-02-18,Paid Search,Central
C01991,2025-02-18,Organic,Central
C03041,2025-02-19,Organic,West
C01036,2025-02-19,Paid Search,Central
C02841,2025-02-19,Paid Search,West
C01084,2025-02-19,Paid Search,Central
C03660,2025-02-19,Paid Search,East
C02524,2025-02-19,Organic,Central
C02640,2025-02-19,Affiliate,South
C00601,2025-02-19,Organic,Central
C03124,2025-02-19,Organic,East
C00821,2025-02-19,Affiliate,South
C00903,2025-02-19,Paid Search,East
C01994,2025-02-19,Organic,Central
C01277,2025-02-20,Organic,West
C03941,2025-02-20,Email,East
C02383,2025-02-20,Paid Search,North
C03787,2025-02-20,Organic,South
C00346,2025-02-20,Email,North
C00293,2025-02-20,Social,East
C03402,2025-02-20,Social,Central
C03262,2025-02-20,Email,Central
C03710,2025-02-20,Organic,North
C02710,2025-02-20,Organic,West
C01379,2025-02-21,Social,South
C00234,2025-02-21,Social,South
C01358,2025-02-21,Affiliate,South
C02156,2025-02-21,Social,West
C01798,2025-02-21,Email,North
C02957,2025-02-21,Organic,East
C02974,2025-02-21,Organic,East
C00003,2025-02-21,Social,East
C03151,2025-02-21,Social,West
C00037,2025-02-22,Email,Central
C00878,2025-02-22,Organic,Central
C00261,2025-02-22,Email,South
C03528,2025-02-22,Email,South
C01699,2025-02-22,Organic,South
C03145,2025-02-22,Social,Central
C02644,2025-02-22,Affiliate,Central
C00663,2025-02-22,Organic,South
C02217,2025-02-22,Affiliate,South
C00613,2025-02-22,Paid Search,West
C02185,2025-02-22,Affiliate,Central
C01450,2025-02-22,Social,East
C01432,2025-02-22,Paid Search,South
C00465,2025-02-23,Email,West
C01586,2025-02-23,Organic,North
C00263,2025-02-23,Organic,East
C03384,2025-02-23,Email,Central
C00913,2025-02-23,Organic,East
C03399,2025-02-23,Organic,East
C03795,2025-02-23,Organic,North
C03035,2025-02-23,Organic,South
C01057,2025-02-23,Email,Central
C03602,2025-02-23,Organic,East
C03208,2025-02-24,Organic,East
C03039,2025-02-24,Social,West
C03454,2025-02-24,Paid Search,East
C01911,2025-02-24,Email,West
C02331,2025-02-24,Organic,East
C00494,2025-02-24,Email,South
C03068,2025-02-24,Paid Search,South
C01399,2025-02-24,Affiliate,Central
C02206,2025-02-24,Organic,South
C00109,2025-02-24,Affiliate,Central
C02254,2025-02-24,Email,East
C02766,2025-02-24,Organic,Central
C03313,2025-02-24,Email,North
C01022,2025-02-24,Paid Search,South
C00840,2025-02-25,Email,South
C03036,2025-02-25,Organic,East
C03542,2025-02-25,Paid Search,South
C03114,2025-02-25,Organic,West
C01174,2025-02-25,Organic,East
C02979,2025-02-25,Organic,East
C03648,2025-02-25,Paid Search,South
C02658,2025-02-25,Email,East
C00366,2025-02-25,Social,South
C01788,2025-02-25,Organic,West
C02847,2025-02-26,Paid Search,North
C01188,2025-02-26,Organic,Central
C03064,2025-02-26,Email,North
C03113,2025-02-26,Organic,North
C00243,2025-02-26,Organic,West
C03610,2025-02-26,Affiliate,Central
C00588,2025-02-26,Social,West
C02230,2025-02-26,Email,West
C01199,2025-02-26,Email,Central
C02594,2025-02-27,Social,Central
C02717,2025-02-27,Social,North
C02143,2025-02-27,Affiliate,North
C01051,2025-02-27,Organic,East
C00387,2025-02-27,Email,West
C00853,2025-02-27,Social,East
C03419,2025-02-27,Social,South
C03037,2025-02-27,Organic,South
C03294,2025-02-27,Paid Search,North
C00874,2025-02-27,Affiliate,North
C03891,2025-02-28,Paid Search,South
C02510,2025-02-28,Organic,West
C00800,2025-02-28,Social,West
C03977,2025-02-28,Paid Search,North
C00486,2025-02-28,Organic,South
C03981,2025-02-28,Organic,Central
C03168,2025-02-28,Social,East
C00316,2025-02-28,Organic,North
C01410,2025-02-28,Organic,West
C00390,2025-02-28,Social,East
C00389,2025-03-01,Organic,South
C00217,2025-03-01,Email,South
C00479,2025-03-01,Paid Search,South
C01475,2025-03-01,Organic,East
C01088,2025-03-01,Paid Search,North
C03027,2025-03-01,Organic,West
C00552,2025-03-01,Organic,West
C01723,2025-03-01,Organic,West
C02001,2025-03-02,Social,North
C03016,2025-03-02,Email,East
C00414,2025-03-02,Social,West
C02307,2025-03-02,Affiliate,South
C03861,2025-03-02,Social,West
C03838,2025-03-02,Social,Central
C00564,2025-03-03,Paid Search,East
C01209,2025-03-03,Social,West
C01604,2025-03-03,Paid Search,North
C02817,2025-03-03,Organic,South
C01570,2025-03-03,Paid Search,South
C02872,2025-03-03,Affiliate,West
C01325,2025-03-03,Organic,West
C02741,2025-03-03,Paid Search,West
C00606,2025-03-03,Affiliate,West
C02934,2025-03-03,Affiliate,West
C01190,2025-03-03,Social,North
C00482,2025-03-04,Organic,Central
C00133,2025-03-04,Social,South
C03683,2025-03-04,Organic,East
C01424,2025-03-04,Paid Search,Central
C02643,2025-03-05,Email,Central
C01591,2025-03-05,Social,East
C01339,2025-03-05,Social,East
C00104,2025-03-05,Paid Search,South
C00681,2025-03-05,Paid Search,East
C02789,2025-03-05,Social,West
C00070,2025-03-05,Organic,North
C01836,2025-03-05,Organic,East
C03786,2025-03-05,Organic,East
C02056,2025-03-05,Paid Search,East
C03486,2025-03-05,Affiliate,Central
C00144,2025-03-05,Email,South
C02484,2025-03-05,Paid Search,East
C02498,2025-03-06,Social,East
C00385,2025-03-06,Social,Central
C01953,2025-03-06,Paid Search,Central
C01552,2025-03-06,Organic,South
C03521,2025-03-06,Organic,South
C02385,2025-03-06,Paid Search,East
C02742,2025-03-06,Social,Central
C01608,2025-03-06,Email,South
C00661,2025-03-06,Organic,North
C03783,2025-03-07,Paid Search,North
C02720,2025-03-07,Organic,North
C03884,2025-03-07,Organic,West
C02650,2025-03-07,Paid Search,Central
C01781,2025-03-07,Email,East
C02191,2025-03-07,Social,East
C00697,2025-03-07,Social,South
C03046,2025-03-07,Paid Search,East
C01889,2025-03-07,Paid Search,North
C02680,2025-03-07,Paid Search,North
C01467,2025-03-07,Paid Search,West
C01156,2025-03-07,Paid Search,East
C01160,2025-03-08,Organic,East
C02267,2025-03-08,Email,East
C00432,2025-03-08,Organic,North
C03892,2025-03-08,Organic,East
C02374,2025-03-08,Social,South
C03595,2025-03-08,Paid Search,East
C01765,2025-03-08,Social,Central
C00285,2025-03-08,Organic,North
C03362,2025-03-08,Paid Search,North
C00971,2025-03-08,Affiliate,Central
C00303,2025-03-08,Organic,South
C00062,2025-03-08,Social,East
C01000,2025-03-09,Affiliate,Central
C01217,2025-03-09,Affiliate,East
C02921,2025-03-09,Affiliate,Central
C03944,2025-03-10,Organic,South
C00734,2025-03-10,Paid Search,Central
C03074,2025-03-10,Affiliate,West
C03906,2025-03-10,Organic,East
C02492,2025-03-10,Social,East
C00702,2025-03-10,Organic,West
C00924,2025-03-10,Paid Search,East
C00287,2025-03-10,Organic,North
C03165,2025-03-10,Organic,East
C00194,2025-03-10,Organic,East
C03118,2025-03-11,Affiliate,West
C00737,2025-03-11,Affiliate,East
C03408,2025-03-11,Organic,East
C02389,2025-03-11,Organic,West
C00894,2025-03-11,Email,East
C03137,2025-03-11,Affiliate,Central
C02671,2025-03-11,Organic,East
C02527,2025-03-11,Paid Search,Central
C03599,2025-03-11,Paid Search,Central
C02054,2025-03-11,Email,South
C01500,2025-03-11,Paid Search,South
C02329,2025-03-11,Organic,Central
C02433,2025-03-12,Paid Search,West
C02768,2025-03-12,Paid Search,Central
C03220,2025-03-12,Organic,North
C01095,2025-03-12,Paid Search,East
C02871,2025-03-12,Paid Search,North
C01934,2025-03-12,Paid Search,East
C01981,2025-03-12,Social,Central
C00591,2025-03-12,Email,Central
C00177,2025-03-12,Affiliate,East
C00727,2025-03-12,Paid Search,West
C03490,2025-03-13,Affiliate,South
C02682,2025-03-13,Organic,North
C03445,2025-03-13,Organic,Central
C00633,2025-03-13,Email,North
C02012,2025-03-13,Paid Search,East
C02318,2025-03-13,Social,North
C00890,2025-03-13,Organic,North
C02422,2025-03-13,Organic,North
C01667,2025-03-13,Paid Search,North
C03651,2025-03-13,Social,West
C02657,2025-03-13,Paid Search,South
C02521,2025-03-13,Social,West
C03298,2025-03-14,Social,Central
C02790,2025-03-14,Organic,Central
C00441,2025-03-14,Email,Central
C01291,2025-03-14,Email,East
C03341,2025-03-14,Affiliate,East
C00683,2025-03-14,Social,West
C02845,2025-03-15,Organic,West
C03233,2025-03-15,Paid Search,West
C01971,2025-03-15,Organic,Central
C00010,2025-03-15,Social,West
C02358,2025-03-15,Organic,South
C03268,2025-03-15,Email,North
C00033,2025-03-15,Organic,North
C02574,2025-03-15,Organic,Central
C02488,2025-03-15,Social,West
C02694,2025-03-15,Email,West
C02718,2025-03-15,Organic,North
C01233,2025-03-15,Paid Search,East
C03424,2025-03-15,Organic,South
C01166,2025-03-16,Paid Search,North
C02485,2025-03-16,Social,East
C01347,2025-03-16,Paid Search,East
C02288,2025-03-16,Organic,Central
C02150,2025-03-16,Paid Search,East
C01751,2025-03-16,Email,West
C02952,2025-03-16,Paid Search,East
C01789,2025-03-16,Paid Search,East
C00575,2025-03-16,Email,North
