date,channel,sessions,add_to_cart,checkout,purchases
2025-02-12,Affiliate,224,49,26,6
2025-02-12,Email,324,68,25,10
2025-02-13,Organic,575,121,52,27
2025-02-13,Paid Search,479,77,35,15
2025-02-13,Social,418,55,32,17
2025-02-13,Affiliate,258,27,14,11
2025-02-13,Email,297,68,32,14
2025-02-14,Organic,590,123,50,18
2025-02-14,Paid Search,500,80,38,15
2025-02-14,Social,493,64,30,19
2025-02-14,Affiliate,275,46,19,6
2025-02-14,Email,348,93,46,22
2025-02-15,Organic,611,117,54,15
2025-02-15,Paid Search,494,87,40,16
2025-02-15,Social,358,42,27,16
2025-02-15,Affiliate,255,44,21,7
2025-02-15,Email,282,67,31,14
2025-02-16,Organic,612,110,54,17
2025-02-16,Paid Search,483,73,27,20
2025-02-16,Social,446,63,31,12
2025-02-16,Affiliate,260,36,18,8
2025-02-16,Email,336,76,32,22
2025-02-17,Organic,561,86,39,16
2025-02-17,Paid Search,485,75,35,14
2025-02-17,Social,429,72,35,9
2025-02-17,Affiliate,284,52,22,4
2025-02-17,Email,300,73,33,13
2025-02-18,Organic,609,111,53,29
2025-02-18,Paid Search,472,69,26,20
2025-02-18,Social,423,75,47,11
2025-02-18,Affiliate,253,40,17,7
2025-02-18,Email,303,77,36,17
2025-02-19,Organic,496,98,44,17
2025-02-19,Paid Search,487,83,49,17
2025-02-19,Social,428,66,33,11
2025-02-19,Affiliate,280,43,19,10
2025-02-19,Email,355,96,46,19
2025-02-20,Organic,498,90,52,20
2025-02-20,Paid Search,507,84,36,21
2025-02-20,Social,470,55,24,11
2025-02-20,Affiliate,262,48,22,12
2025-02-20,Email,370,93,38,18
2025-02-21,Organic,574,116,46,19
2025-02-21,Paid Search,507,69,31,20
2025-02-21,Social,478,87,46,21
2025-02-21,Affiliate,304,57,24,7
2025-02-21,Email,340,67,32,19
2025-02-22,Organic,580,107,54,32
2025-02-22,Paid Search,589,83,34,23
2025-02-22,Social,403,62,31,12
2025-02-22,Affiliate,208,38,19,8
2025-02-22,Email,301,63,38,11
2025-02-23,Organic,528,94,39,21
2025-02-23,Paid Search,533,76,42,20
2025-02-23,Social,477,65,30,12
2025-02-23,Affiliate,248,42,17,11
2025-02-23,Email,369,84,43,19
2025-02-24,Organic,520,89,50,28
2025-02-24,Paid Search,537,105,50,24
2025-02-24,Social,515,82,39,12
2025-02-24,Affiliate,228,42,26,10
2025-02-24,Email,330,78,35,15
2025-02-25,Organic,594,104,50,21
2025-02-25,Paid Search,525,85,38,19
2025-02-25,Social,479,68,27,22
2025-02-25,Affiliate,241,36,13,7
2025-02-25,Email,317,79,37,17
2025-02-26,Organic,494,109,50,16
2025-02-26,Paid Search,507,73,39,17
2025-02-26,Social,516,59,31,10
2025-02-26,Affiliate,245,31,17,8
2025-02-26,Email,341,67,37,14
2025-02-27,Organic,589,101,57,21
2025-02-27,Paid Search,520,76,31,18
2025-02-27,Social,453,57,31,15
2025-02-27,Affiliate,267,42,18,7
2025-02-27,Email,374,90,43,27
2025-02-28,Organic,565,119,62,21
2025-02-28,Paid Search,471,72,40,11
2025-02-28,Social,500,67,32,18
2025-02-28,Affiliate,267,42,24,5
2025-02-28,Email,378,76,40,22
2025-03-01,Organic,532,102,50,27
2025-03-01,Paid Search,502,72,39,17
2025-03-01,Social,402,53,23,10
2025-03-01,Affiliate,279,58,29,12
2025-03-01,Email,338,75,30,19
2025-03-02,Organic,491,85,35,13
2025-03-02,Paid Search,518,71,41,24
2025-03-02,Social,485,71,36,16
2025-03-02,Affiliate,282,55,27,7
2025-03-02,Email,341,83,37,16
2025-03-03,Organic,651,122,68,28
2025-03-03,Paid Search,504,91,45,24
2025-03-03,Social,406,60,36,14
2025-03-03,Affiliate,268,49,26,8
2025-03-03,Email,378,86,35,15
2025-03-04,Organic,599,122,59,19
2025-03-04,Paid Search,448,71,41,12
2025-03-04,Social,505,65,34,16
2025-03-04,Affiliate,281,49,21,13
2025-03-04,Email,341,70,36,14
2025-03-05,Organic,551,103,53,26
2025-03-05,Paid Search,552,101,49,13
2025-03-05,Social,400,51,27,10
2025-03-05,Affiliate,241,61,30,11
2025-03-05,Email,334,68,30,25
2025-03-06,Organic,572,98,44,25
2025-03-06,Paid Search,477,64,34,21
2025-03-06,Social,452,59,25,17
2025-03-06,Affiliate,266,51,19,12
2025-03-06,Email,320,73,34,19
2025-03-07,Organic,496,99,51,23
2025-03-07,Paid Search,464,63,28,20
2025-03-07,Social,476,80,32,13
2025-03-07,Affiliate,272,43,20,8
2025-03-07,Email,346,72,30,22
2025-03-08,Organic,547,103,52,20
2025-03-08,Paid Search,553,92,41,15
2025-03-08,Social,456,68,28,10
2025-03-08,Affiliate,238,47,16,10
2025-03-08,Email,319,62,33,13
2025-03-09,Organic,600,127,63,31
2025-03-09,Paid Search,509,75,42,15
2025-03-09,Social,449,62,30,15
2025-03-09,Affiliate,265,31,18,6
2025-03-09,Email,319,59,22,17
2025-03-10,Organic,566,106,49,21
2025-03-10,Paid Search,535,89,35,26
2025-03-10,Social,429,58,28,16
2025-03-10,Affiliate,265,52,22,12
2025-03-10,Email,347,75,42,20
2025-03-11,Organic,470,82,50,18
2025-03-11,Paid Search,466,72,37,20
2025-03-11,Social,490,65,30,20
2025-03-11,Affiliate,280,47,22,10
2025-03-11,Email,317,72,33,17
2025-03-12,Organic,572,110,55,17
2025-03-12,Paid Search,437,61,31,20
2025-03-12,Social,452,50,24,22
2025-03-12,Affiliate,290,51,26,8
2025-03-12,Email,358,87,46,19
2025-03-13,Organic,550,98,44,17
2025-03-13,Paid Search,504,82,48,16
2025-03-13,Social,460,70,29,15
2025-03-13,Affiliate,274,48,28,12
2025-03-13,Email,332,72,31,21
2025-03-14,Organic,576,96,35,29
2025-03-14,Paid Search,516,85,37,13
2025-03-14,Social,509,71,32,10
2025-03-14,Affiliate,284,42,17,14
2025-03-14,Email,354,101,52,23
2025-03-15,Organic,603,109,45,23
2025-03-15,Paid Search,527,93,43,12
2025-03-15,Social,451,74,38,12
2025-03-15,Affiliate,293,50,20,14
2025-03-15,Email,324,87,41,21
2025-03-16,Organic,543,90,44,29
2025-03-16,Paid Search,540,93,48,12
2025-03-16,Social,399,54,31,12
2025-03-16,Affiliate,230,40,23,10
2025-03-16,Email,315,68,27,17
2025-03-17,Organic,549,104,52,16
2025-03-17,Paid Search,550,82,30,18
2025-03-17,Social,501,71,38,10
2025-03-17,Affiliate,243,51,33,12
2025-03-17,Email,318,74,34,7
2025-03-18,Organic,561,95,46,28
2025-03-18,Paid Search,546,81,44,21
2025-03-18,Social,512,77,33,10
2025-03-18,Affiliate,281,43,29,6
2025-03-18,Email,315,70,26,15
2025-03-19,Organic,556,91,40,26
2025-03-19,Paid Search,515,74,32,13
2025-03-19,Social,484,59,33,14
2025-03-19,Affiliate,269,41,21,10
2025-03-19,Email,335,64,29,17
2025-03-20,Organic,548,105,46,19
2025-03-20,Paid Search,564,80,39,24
2025-03-20,Social,464,62,36,16
2025-03-20,Affiliate,258,50,14,9
2025-03-20,Email,346,108,57,25
2025-03-21,Organic,573,93,53,21
2025-03-21,Paid Search,553,86,46,16
2025-03-21,Social,470,69,35,17
2025-03-21,Affiliate,245,48,22,8
2025-03-21,Email,324,70,27,18
2025-03-22,Organic,610,122,69,29
2025-03-22,Paid Search,470,79,32,12
2025-03-22,Social,437,50,20,12
2025-03-22,Affiliate,258,47,24,12
2025-03-22,Email,368,80,43,12
2025-03-23,Organic,563,116,55,29
2025-03-23,Paid Search,496,82,38,14
2025-03-23,Social,491,56,25,19
2025-03-23,Affiliate,249,40,18,8
2025-03-23,Email,314,75,37,18
2025-03-24,Organic,563,103,49,21
2025-03-24,Paid Search,479,69,38,13
2025-03-24,Social,431,72,38,15
2025-03-24,Affiliate,252,43,28,7
2025-03-24,Email,328,84,45,10
2025-03-25,Organic,546,114,47,23
2025-03-25,Paid Search,514,86,42,16
2025-03-25,Social,453,70,32,5
2025-03-25,Affiliate,292,49,23,16
2025-03-25,Email,358,81,41,19
2025-03-26,Organic,556,96,50,24
2025-03-26,Paid Search,514,82,39,17
2025-03-26,Social,496,74,42,13
2025-03-26,Affiliate,286,45,19,9
2025-03-26,Email,361,89,39,22
2025-03-27,Organic,594,115,48,26
2025-03-27,Paid Search,498,80,29,17
2025-03-27,Social,506,74,23,10
2025-03-27,Affiliate,269,46,25,6
2025-03-27,Email,321,69,30,24
2025-03-28,Organic,607,123,65,18
2025-03-28,Paid Search,532,83,40,20
2025-03-28,Social,474,79,33,19
2025-03-28,Affiliate,273,39,18,9
2025-03-28,Email,329,62,31,14
2025-03-29,Organic,611,130,48,23
2025-03-29,Paid Search,534,94,44,11
2025-03-29,Social,430,47,28,8
2025-03-29,Affiliate,263,44,19,13
2025-03-29,Email,328,80,39,18
2025-03-30,Organic,524,98,44,21
2025-03-30,Paid Search,548,82,49,9
2025-03-30,Social,514,76,35,12
2025-03-30,Affiliate,257,35,21,10
2025-03-30,Email,298,66,32,14
2025-03-31,Organic,688,114,52,34
2025-03-31,Paid Search,542,84,39,13
2025-03-31,Social,435,64,34,14
2025-03-31,Affiliate,256,30,13,8
2025-03-31,Email,358,83,38,18
2025-04-01,Organic,595,100,43,20
2025-04-01,Paid Search,537,64,28,16
2025-04-01,Social,404,77,39,12
2025-04-01,Affiliate,287,52,28,12
2025-04-01,Email,320,78,34,20
2025-04-02,Organic,626,116,55,28
2025-04-02,Paid Search,530,84,42,18
2025-04-02,Social,487,63,26,17
2025-04-02,Affiliate,268,36,18,12
2025-04-02,Email,335,77,34,22
2025-04-03,Organic,561,97,46,24
2025-04-03,Paid Search,521,91,44,22
2025-04-03,Social,461,68,28,17
2025-04-03,Affiliate,270,38,21,12
2025-04-03,Email,326,75,34,16
2025-04-04,Organic,593,111,54,25
2025-04-04,Paid Search,533,87,43,11
2025-04-04,Social,510,75,35,24
2025-04-04,Affiliate,253,42,18,6
2025-04-04,Email,321,69,31,20
2025-04-05,Organic,591,127,53,20
2025-04-05,Paid Search,579,79,37,19
2025-04-05,Social,436,55,28,15
2025-04-05,Affiliate,268,44,15,9
2025-04-05,Email,290,59,29,16
2025-04-06,Organic,596,125,70,26
2025-04-06,Paid Search,466,82,37,20
2025-04-06,Social,484,68,35,9
2025-04-06,Affiliate,280,45,22,10
2025-04-06,Email,339,70,35,18
2025-04-07,Organic,555,95,46,21
2025-04-07,Paid Search,555,76,35,17
2025-04-07,Social,461,60,29,15
2025-04-07,Affiliate,250,44,24,9
2025-04-07,Email,295,67,28,19
2025-04-08,Organic,575,123,68,30
2025-04-08,Paid Search,509,83,43,17
2025-04-08,Social,417,53,29,8
2025-04-08,Affiliate,287,41,23,6
2025-04-08,Email,341,83,37,20
2025-04-09,Organic,588,106,62,23
2025-04-09,Paid Search,545,81,42,15
2025-04-09,Social,478,59,33,17
2025-04-09,Affiliate,297,56,23,10
2025-04-09,Email,335,83,42,16
2025-04-10,Organic,658,127,62,26
2025-04-10,Paid Search,503,86,43,22
2025-04-10,Social,395,62,27,13
2025-04-10,Affiliate,218,34,17,7
2025-04-10,Email,320,76,33,10
2025-04-11,Organic,684,134,69,26
2025-04-11,Paid Search,521,80,42,16
2025-04-11,Social,469,73,31,14
2025-04-11,Affiliate,258,48,19,8
2025-04-11,Email,299,77,38,13
2025-04-12,Organic,565,95,50,22
2025-04-12,Paid Search,494,75,39,14
2025-04-12,Social,529,72,30,14
2025-04-12,Affiliate,290,47,23,11
2025-04-12,Email,343,86,35,16
2025-04-13,Organic,501,98,45,28
2025-04-13,Paid Search,544,87,45,23
2025-04-13,Social,431,60,31,9
2025-04-13,Affiliate,277,53,23,16
2025-04-13,Email,335,75,31,17
2025-04-14,Organic,558,106,55,22
2025-04-14,Paid Search,546,77,40,6
2025-04-14,Social,466,65,36,18
2025-04-14,Affiliate,274,49,18,9
2025-04-14,Email,328,73,32,16
2025-04-15,Organic,508,106,56,16
2025-04-15,Paid Search,471,66,32,11
2025-04-15,Social,474,59,27,15
2025-04-15,Affiliate,256,49,31,6
2025-04-15,Email,353,90,48,29
2025-04-16,Organic,511,105,53,13
2025-04-16,Paid Search,531,88,44,13
2025-04-16,Social,490,76,33,15
2025-04-16,Affiliate,240,42,17,9
2025-04-16,Email,347,70,33,15
2025-04-17,Organic,498,101,49,15
2025-04-17,Paid Search,560,83,35,18
2025-04-17,Social,472,68,28,19
2025-04-17,Affiliate,258,45,22,12
2025-04-17,Email,345,78,38,21
2025-04-18,Organic,591,111,50,25
2025-04-18,Paid Search,542,90,47,22
2025-04-18,Social,455,51,25,14
2025-04-18,Affiliate,284,45,21,10
2025-04-18,Email,346,77,35,14
2025-04-19,Organic,596,115,51,26
2025-04-19,Paid Search,516,88,45,20
2025-04-19,Social,467,61,29,8
2025-04-19,Affiliate,272,53,17,11
2025-04-19,Email,314,70,35,12
2025-04-20,Organic,576,115,60,25
2025-04-20,Paid Search,527,70,31,21
2025-04-20,Social,420,65,27,10
2025-04-20,Affiliate,233,35,15,11
2025-04-20,Email,355,83,41,24
2025-04-21,Organic,599,96,39,19
2025-04-21,Paid Search,470,75,37,11
2025-04-21,Social,450,57,25,14
2025-04-21,Affiliate,273,45,17,7
2025-04-21,Email,351,83,41,16
2025-04-22,Organic,504,98,48,26
2025-04-22,Paid Search,414,73,35,16
2025-04-22,Social,436,49,25,12
2025-04-22,Affiliate,254,41,30,11
2025-04-22,Email,301,59,27,17
2025-04-23,Organic,587,102,45,21
2025-04-23,Paid Search,566,90,39,24
2025-04-23,Social,460,60,20,16
2025-04-23,Affiliate,283,49,23,9
2025-04-23,Email,338,86,40,20
2025-04-24,Organic,585,107,49,26
2025-04-24,Paid Search,510,86,42,23
2025-04-24,Social,440,49,25,12
2025-04-24,Affiliate,264,46,20,12
2025-04-24,Email,324,68,40,13
2025-04-25,Organic,528,91,45,21
2025-04-25,Paid Search,502,64,29,17
2025-04-25,Social,438,68,33,17
2025-04-25,Affiliate,249,46,27,6
2025-04-25,Email,378,83,38,19
2025-04-26,Organic,573,87,44,27
2025-04-26,Paid Search,454,70,35,13
2025-04-26,Social,440,72,39,10
2025-04-26,Affiliate,236,43,18,9
2025-04-26,Email,348,78,40,10
2025-04-27,Organic,615,121,53,25
2025-04-27,Paid Search,515,87,47,16
2025-04-27,Social,416,55,27,14
2025-04-27,Affiliate,238,34,22,7
2025-04-27,Email,319,80,45,19
2025-04-28,Organic,539,98,45,16
2025-04-28,Paid Search,538,96,45,21
2025-04-28,Social,426,62,33,11
2025-04-28,Affiliate,252,49,19,10
2025-04-28,Email,361,89,50,17
2025-04-29,Organic,603,81,43,26
2025-04-29,Paid Search,573,87,42,15
2025-04-29,Social,418,55,22,15
2025-04-29,Affiliate,220,27,7,8
2025-04-29,Email,365,75,45,18
2025-04-30,Organic,585,104,42,24
2025-04-30,Paid Search,540,79,51,22
2025-04-30,Social,425,62,30,10
2025-04-30,Affiliate,283,49,20,11
2025-04-30,Email,322,82,39,13
2025-05-01,Organic,618,133,69,26
2025-05-01,Paid Search,490,90,41,22
2025-05-01,Social,470,69,34,14
2025-05-01,Affiliate,248,53,26,9
2025-05-01,Email,305,74,37,19
2025-05-02,Organic,525,109,58,18
2025-05-02,Paid Search,524,109,48,17
2025-05-02,Social,488,65,27,6
2025-05-02,Affiliate,254,40,23,10
2025-05-02,Email,363,82,42,19
2025-05-03,Organic,618,114,50,16
2025-05-03,Paid Search,499,77,28,14
2025-05-03,Social,410,51,28,12
2025-05-03,Affiliate,252,40,18,6
2025-05-03,Email,326,71,29,20
2025-05-04,Organic,521,87,44,13
2025-05-04,Paid Search,508,76,32,21
2025-05-04,Social,474,65,36,16
2025-05-04,Affiliate,273,56,21,14
2025-05-04,Email,318,91,47,23
2025-05-05,Organic,596,120,43,24
2025-05-05,Paid Search,526,80,35,14
2025-05-05,Social,460,57,28,18
2025-05-05,Affiliate,267,53,26,6
2025-05-05,Email,350,87,53,14
2025-05-06,Organic,576,102,55,20
2025-05-06,Paid Search,531,73,40,18
2025-05-06,Social,503,69,33,10
2025-05-06,Affiliate,254,39,25,10
2025-05-06,Email,347,81,39,17
2025-05-07,Organic,515,94,47,25
2025-05-07,Paid Search,502,77,43,23
2025-05-07,Social,489,70,36,8
2025-05-07,Affiliate,283,56,31,9
2025-05-07,Email,344,80,41,23
2025-05-08,Organic,462,92,44,24
2025-05-08,Paid Search,445,68,32,17
2025-05-08,Social,490,68,36,9
2025-05-08,Affiliate,262,38,17,12
2025-05-08,Email,383,87,43,16
2025-05-09,Organic,546,98,37,23
2025-05-09,Paid Search,492,76,36,25
2025-05-09,Social,406,56,28,20
2025-05-09,Affiliate,258,43,25,6
2025-05-09,Email,294,62,25,14
2025-05-10,Organic,639,138,70,28
2025-05-10,Paid Search,468,80,39,17
2025-05-10,Social,471,65,33,17
2025-05-10,Affiliate,285,55,29,14
2025-05-10,Email,339,70,36,15
2025-05-11,Organic,513,90,41,23
2025-05-11,Paid Search,434,68,31,10
2025-05-11,Social,516,70,32,16
2025-05-11,Affiliate,245,44,23,11
2025-05-11,Email,322,62,34,16
2025-05-12,Organic,601,112,52,21
2025-05-12,Paid Search,501,85,40,13
2025-05-12,Social,482,65,31,17
2025-05-12,Affiliate,251,46,20,9
2025-05-12,Email,406,98,39,19
2025-05-13,Organic,581,119,53,17
2025-05-13,Paid Search,418,69,36,23
2025-05-13,Social,484,70,37,13
2025-05-13,Affiliate,235,37,15,13
2025-05-13,Email,342,80,40,22
2025-05-14,Organic,603,129,57,23
2025-05-14,Paid Search,504,74,35,22
2025-05-14,Social,421,68,34,10
2025-05-14,Affiliate,218,45,16,7
2025-05-14,Email,320,69,31,18
2025-05-15,Organic,577,117,52,28
2025-05-15,Paid Search,456,73,32,16
2025-05-15,Social,478,68,29,10
2025-05-15,Affiliate,245,34,17,9
2025-05-15,Email,325,76,38,19
2025-05-16,Organic,513,105,56,25
2025-05-16,Paid Search,501,97,51,19
2025-05-16,Social,451,68,36,11
2025-05-16,Affiliate,253,46,19,9
2025-05-16,Email,319,79,44,11
2025-05-17,Organic,508,104,50,19
2025-05-17,Paid Search,507,80,40,11
2025-05-17,Social,445,74,32,16
2025-05-17,Affiliate,289,41,26,5
2025-05-17,Email,337,64,32,16
2025-05-18,Organic,580,93,44,20
2025-05-18,Paid Search,481,66,34,15
2025-05-18,Social,442,68,37,14
2025-05-18,Affiliate,269,43,26,10
2025-05-18,Email,349,84,38,12
2025-05-19,Organic,597,110,55,31
2025-05-19,Paid Search,501,87,45,15
2025-05-19,Social,415,62,23,11
2025-05-19,Affiliate,250,33,17,20
2025-05-19,Email,357,72,34,18
2025-05-20,Organic,582,88,45,27
2025-05-20,Paid Search,520,89,44,22
2025-05-20,Social,430,64,40,12
2025-05-20,Affiliate,293,45,22,13
2025-05-20,Email,331,80,43,13
2025-05-21,Organic,535,118,51,21
2025-05-21,Paid Search,532,80,43,20
2025-05-21,Social,449,67,29,8
2025-05-21,Affiliate,276,46,23,10
2025-05-21,Email,281,84,38,15
2025-05-22,Organic,624,108,46,16
2025-05-22,Paid Search,526,81,38,12
2025-05-22,Social,421,52,30,12
2025-05-22,Affiliate,248,47,21,2
2025-05-22,Email,305,71,36,21
2025-05-23,Organic,613,116,60,25
2025-05-23,Paid Search,518,72,41,14
2025-05-23,Social,403,45,24,11
2025-05-23,Affiliate,228,37,11,4
2025-05-23,Email,384,89,37,24
2025-05-24,Organic,604,119,52,23
2025-05-24,Paid Search,502,83,44,22
2025-05-24,Social,436,67,33,12
2025-05-24,Affiliate,239,40,20,8
